JNJ,JNJ,JNJ,JNJ,JNJ
Open,High,Low,Close,Volume
169.29734058295347,170.30991251627796,168.41382624192067,169.4958953857422,7934400
168.67193178592797,170.925380222256,168.44359680529257,169.3469696044922,8957200
169.9227434353212,170.36946141628047,168.68185173954336,170.28012084960938,9315900
169.77385105569505,172.6924308950189,169.14843676223865,172.0670166015625,7686800
172.13649857758625,173.32776678312055,171.78905797397582,172.55345153808594,7256800
172.73212285100382,173.4865795436525,170.5580781915039,171.52101135253906,7916700
171.7394119513535,173.26818386678403,171.44159491266853,173.14906311035156,5878700
173.03986803125628,174.43959754208356,171.4614573816532,173.44688415527344,8241700
174.2906945797857,175.97830428834766,173.68513881492242,175.35289001464844,9477600
175.21390709843195,176.27611765877361,174.8168278156073,174.96572875976562,9284000
174.75725508103903,176.88166108804336,174.69769470242457,176.5044403076172,9274200
177.19934630540888,179.2939722373882,176.7029895930688,177.536865234375,9030000
177.24898464409927,178.767834968949,176.86182701516904,177.62620544433594,8859600
178.72811660435497,179.83996592972952,176.17685100409255,177.98358154296875,9524000
178.21191308578193,178.94651130433263,176.99086470246428,177.11000061035156,6229100
176.75,177.16000366210938,175.77000427246094,176.49000549316406,9145000
176.97000122070312,177.69000244140625,176.16000366210938,176.7899932861328,5951100
176.3699951171875,176.49000549316406,174.6300048828125,175.4499969482422,6424700
175.97000122070312,177.41000366210938,175.4499969482422,177.1699981689453,6942300
177.47000122070312,179.1999969482422,176.88999938964844,178.05999755859375,9049000
177.6699981689453,178.2899932861328,176.52999877929688,178.0,7111700
178.0,178.89999389648438,177.5500030517578,178.75999450683594,7854800
178.0,179.50999450683594,176.55999755859375,178.42999267578125,9733800
177.36000061035156,179.4499969482422,176.6999969482422,178.1300048828125,8382500
178.0,178.08999633789062,176.4499969482422,176.9600067138672,6005700
176.3000030517578,176.61000061035156,174.3300018310547,175.7899932861328,6891600
175.75,178.85000610351562,175.6300048828125,178.5,5792500
177.7100067138672,178.8000030517578,176.72000122070312,178.05999755859375,7220200
177.75999450683594,178.99000549316406,176.92999267578125,177.39999389648438,4768100
177.57000732421875,177.6199951171875,175.64999389648438,176.4600067138672,7959300
176.7100067138672,178.50999450683594,176.5850067138672,177.1999969482422,4356447
